Label,Message,Length,Tokens
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,94,"['sucks', 'got', 'planned', 'yo', 'valentine', 'yo', 'valentine']"
spam,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",106,"['free', 'ring', 'tone', 'text', 'polys', 'week', 'new', 'tone', 'wk']"
ham,Must come later.. I normally bathe him in da afternoon mah..,60,"['come', 'later', 'normally', 'bathe', 'da', 'afternoon', 'mah']"
ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,59,"['hi', 'di', 'yijue', 'meeting', 'pm', 'esaplanade', 'tonight']"
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",163,"['urgent', 'important', 'information', 'user', 'today', 'lucky', 'day', 'find', 'log', 'fantastic', 'surprise', 'awaiting']"
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,72,"['matter', 'msg', 'break']"
ham,Ok no prob... I'll come after lunch then...,43,"['ok', 'prob', 'come', 'lunch']"
ham,Am slow in using biola's fne,28,"['slow', 'biola', 'fne']"
ham,I doubt you could handle 5 times per night in any case...,57,"['doubt', 'handle', 'times', 'night', 'case']"
ham,Wanna do some art?! :D,22,"['wanna', 'art', 'd']"
ham,"Lol, oh you got a friend for the dog ?",38,"['lol', 'oh', 'got', 'friend', 'dog']"
ham,Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x,161,"['hey', 'fancy', 'meetin', 'cha', 'hav', 'lil', 'beverage', 'txt', 'ring', 'meet', 'tired', 'got', 'love', 'pete', 'x', 'x', 'x']"
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,101,"['reason', 'spoken', 'year', 'anyways', 'great', 'week', 'best', 'exam']"
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,84,"['baaaaabe', 'misss', 'youuuuu', 'teach', 'class']"
